Id;Name;Email;Phone;Age;City;Street;Tag;Price;CustomerId;ProductId
24;Юлия Гурьева;Aleksei64@yahoo.com;(982)602-32-14;24;Чебоксары;проспект Спортивная;Шарф;800;e8a56BaPZvyG;GB46SAPZ49624309004992
25;Ярослав Артемьев;Egor_Guseva@ya.ru;(995)080-07-28;15;Барнаул;пр. Полевая;Плащ;1555;5wWIe100yeUD;BH50XJVBL650WET042
26;Галина Рожкова;Klavdiya30@hotmail.com;(989)319-83-31;23;Астрахань;пл. Свободы;Ботинок;1500;mTy21JIaYFTk;BE69713205500155
28;Григорий Селиверстов;Mikhail24@yandex.ru;(930)800-38-94;16;Чебоксары;площадь Чкалова;Куртка;25000;WaKUoI8chO;4389H7TA8C90GR235A0073
29;Анатолий Пономарев;Georgii.Tikhonova18@ya.ru;(949)581-35-88;65;Курск;площадь Совхозная;Компьютер;235000;EbUdr58oCv3;CR47731
30;Евгения Рыбакова;Arsenii10@yandex.ru;(970)358-87-02;19;Магнитогорск;Кирова площадь;Майка;1500;vMVV4545;GR70536221250E6C630
31;Георгий Громов;Elizaveta53@hotmail.com;(979)102-43-88;14;Кемерово;Озерная пр.;Клатч;20000;H4QAjigX45hoq;120018291030901661G4
32;Тамара Калинина;Andrei42@yahoo.com;(988)202-39-96;17;Москва;площадь Шоссейная;Кепка;680;210F12jKzS3;FR500174C241620I3762
33;Андрей Ермаков;Nikita_Belyaev@ya.ru;(941)813-77-44;22;Москва;проспект Космонавтов;Кошелек;500;tW9JcKo231FZB;MBG6000210592014CRW
34;Антон Блинов;Vladimir.Kononova41@yandex.ru;(992)101-88-80;29;Ижевск;ул. речень улиц;Кулон;3600;r945s9Stwc1c;PK921070789857008
35;Вероника Беляева;Matvei_Fedorov10@yandex.ru;(921)975-58-55;26;Воронеж;Дорожная пл.;Ремень;1305;7x456qI8O7i0a;GZ2W16209M0D6
36;Алексей Беляев;Marina16@yahoo.com;(916)678-86-21;28;Саратов;Ленина проспект;Куртка;60000;J2OoC45fJqXt;KZ038407911362398394
37;Виктория Павлова;VarvaraTeterina62@yahoo.com;(915)849-85-72;45;Тюмень;проспект Матросова;Майка;500;XfQy456ST2fgB;BG14LZRB3200206PIS
38;Андрей Кононов;Eduard73@yandex.ru;(949)030-55-47;45;Чебоксары;улица Лесной;Берет;1500;O1SF45HhkGNN;ME365983326
39;Елизавета Панфилова;Angelina_Novikov85@ya.ru;(924)279-85-56;42;Махачкала;ул. Комсомольская;Ножницы;200;KUClJ457vp3vz;AT4724CR2491306
40;Валерия Петухова;Valeriya.Gavrilova@yandex.ru;(944)525-08-27;52;Москва;Молодежная улица;Компьютер;84000;cd6Zj6445jJHs;AZ323692003978013
41;Герман Колобов;Angelina67@yahoo.com;(905)557-86-54;62;Рязань;площадь Трактовая;Кепка;600;wu45457VUlQicr;FI7970037290348454
