41;Неонила Задорная;Sash0kZapash0k@gmail.com;(699)132-43-83;13;Краснодар;Дворцовая площадь;Дакимакура;25201;ATL45TO46v;S9TeSeGmUH
42;Дминтрий Константинопольский;Sash0kZapash0k@gmail.com;(741)465-59-91;9;Томск;Дворцовая площадь;Дакимакура;917;0A55GG09mH;6H6ArKGS5S
43;Дминтрий Константинопольский;Sash0kZapash0k@gmail.com;(741)465-59-91;3;Севастополь;Улица Лузана;Геймпады;33268;P4WJTCPYJ8;3mDW6N50T2
44;Анастасия Мирная;Gayechka@gmail.com;(593)273-01-91;1;Севастополь;Тверская улица;Диски;33304;JI2XNvQve1;vGWH8J3X5L
41;Дминтрий Константинопольский;ZayaIzRaya@yandex.ru;(699)132-43-83;1;Симферополь;Манхетен стрит;Косплей;9310;XFHAC3KC3r;U6HzOXSUDI
42;Ярослава Всеволодова;ZayaIzRaya@yandex.ru;(221)335-45-39;10;Омск;Манхетен стрит;Брелки;18913;33e34OND57;rDP2DQ2727
43;Мария Выглодова;Gayechka@gmail.com;(983)637-71-24;9;Санкт-Петербург;Тверская улица;Сладости;39431;XAPHKYF052;6NXDDC2C79
44;Диана Зайцева;Bozhenka@mail.ru;(200)576-89-22;3;Севастополь;Улица Лузана;Косплей;23094;261mr85mJU;3K5z5YACW3
41;Ярослава Всеволодова;GGbr0@gmail.com;(200)576-89-22;0;Севастополь;Тверская улица;Сладости;36901;DvIYCSD32S;mvUW4TKzD6
42;Диана Зайцева;Gayechka@gmail.com;(983)637-71-24;10;Симферополь;Улина Красных фонарей;Сладости;38190;712JLU4vCm;IG1eAJIAK7
43;Никита Жмыхов;Bozhenka@mail.ru;(699)132-43-83;2;Обнинск;Тверская улица;Сладости;13054;DY68XGG0TC;O4YXIHeW22
44;Дминтрий Константинопольский;ZayaIzRaya@yandex.ru;(741)465-59-91;8;Обнинск;Невская;Диски;22537;712JLU4vCm;UDzIABLrWN
41;Софья Кудрявцева;mrsK1tty@gmail.com;(200)576-89-22;5;Севастополь;Красная улица;Полотенце;12349;zF0v75Hv7I;LHT50mH15T
42;Никита Жмыхов;mrsK1tty@gmail.com;(983)637-71-24;8;Москва;Улица Дзержинского;Значки;38855;vSr04D8HmF;Dz94P432T8
43;Неонила Задорная;YaLubluDota2@mail.ru;(593)273-01-91;6;Новосибирск;Тверская улица;Арты;36041;rB8HWv05m6;e3mX48J9QH
44;Людмила Польская;Sash0kZapash0k@gmail.com;(699)132-43-83;12;Красноярск;Улина Красных фонарей;Полотенце;1556;QmQJPIF9GY;LHT50mH15T
41;Анастасия Мирная;Sash0kZapash0k@gmail.com;(954)093-64-44;13;Обнинск;Дворцовая площадь;Сладости;39711;KLXSQTPXOK;0vXQ1eN4WB
42;Дминтрий Константинопольский;NenavizhuDota2@gmail.com;(221)335-45-39;9;Томск;Улица Дзержинского;Значки;15492;KLXSQTPXOK;z14QGmUHJG
43;Софья Кудрявцева;YaLubluDota2@mail.ru;(593)273-01-91;12;Севастополь;Улица Дзержинского;Дакимакура;14449;QKK6Nm4TTm;CY1Y9C3OA0
44;Неонила Задорная;ZayaIzRaya@yandex.ru;(954)093-64-44;10;Красноярск;Улица Лузана;Геймпады;20471;PrKPe0zrPN;GQIH1vIIBH
41;Мария Выглодова;Gayechka@gmail.com;(814)393-72-48;14;Томск;Улина Красных фонарей;Фигурки;1985;TDXWPKW3eY;Je0K4QYJKN
42;Неонила Задорная;GGbr0@gmail.com;(983)637-71-24;14;Обнинск;Манхетен стрит;Полотенце;23373;86OIvJS0I1;Je0K4QYJKN
43;Софья Кудрявцева;ZayaIzRaya@yandex.ru;(593)273-01-91;10;Обнинск;Манхетен стрит;Брелки;5359;zQ52GzS6A4;U58BUG4vH6
44;Анастасия Мирная;GGbr0@gmail.com;(814)393-72-48;3;Омск;Невская;Сладости;7411;TDXWPKW3eY;4O4B6O3YGO
41;Никита Жмыхов;mrsK1tty@gmail.com;(593)273-01-91;6;Симферополь;Манхетен стрит;Плакаты;3223;4zzmmUDBA0;LXrUD0C3GH
42;Людмила Польская;Sash0kZapash0k@gmail.com;(200)576-89-22;11;Москва;Проезд Репина;Видео-игры;26665;92PS34zrT1;LXrUD0C3GH
43;Мария Выглодова;Sash0kZapash0k@gmail.com;(200)576-89-22;2;Омск;Улица Дзержинского;Видео-игры;17065;NTUYF0Yv4L;zUTU0Hm7e9
44;Никита Жмыхов;YaLubluDota2@mail.ru;(221)335-45-39;7;Краснодар;Тверская улица;Видео-игры;30768;WrUH6SACG8;KrJmWYBe37
41;Дминтрий Константинопольский;Sash0kZapash0k@gmail.com;(221)335-45-39;2;Томск;Улица Лузана;Геймпады;39294;QvvL6PSCJN;NeDDUv4AH4
42;Ярослава Всеволодова;NenavizhuDota2@gmail.com;(593)273-01-91;11;Томск;Невская;Сладости;5833;FT1ASASU04;16OPee4UeS
43;Никита Жмыхов;YaLubluDota2@mail.ru;(983)637-71-24;3;Симферополь;Проезд Репина;Сладости;21193;YOAKS4mBYL;T7zX3eXF35
44;Неонила Задорная;mrsK1tty@gmail.com;(593)273-01-91;3;Санкт-Петербург;Проезд Репина;Дакимакура;903;LUeOvK8YAT;49m89AQ0We
